,episode,cumulative reward
0,1,-1656.9170969570914
1,2,-1024.5628662109375
2,3,-971.575927734375
3,4,-965.2054443359375
4,5,80.08169555664062
5,6,62.02925109863281
6,7,802.5773315429688
7,8,726.748291015625
8,9,1285.0810546875
9,10,494.3436584472656
10,11,-98.14753723144531
11,12,744.9955444335938
12,13,951.8407592773438
13,14,991.0863037109375
14,15,1801.3392333984375
15,16,1174.3179931640625
16,17,2033.189697265625
17,18,2395.912109375
18,19,2084.354248046875
19,20,1485.87060546875
20,21,3515.120849609375
21,22,3418.21337890625
22,23,3732.05908203125
23,24,3739.310791015625
24,25,4131.7041015625
25,26,4363.06201171875
26,27,3747.3232421875
27,28,3302.61572265625
28,29,4629.97509765625
29,30,4181.1064453125
30,31,3262.60302734375
31,32,5215.19921875
32,33,5407.8818359375
33,34,4127.47265625
34,35,5176.5185546875
35,36,509.2817077636719
36,37,282.5113525390625
37,38,5235.63134765625
38,39,5080.0107421875
39,40,5387.07861328125
40,41,5232.98974609375
41,42,1466.1524658203125
42,43,5740.4228515625
43,44,10390.3232421875
44,45,6928.19677734375
45,46,7578.0302734375
46,47,8451.1845703125
47,48,8617.142578125
48,49,8596.681640625
49,50,9002.765625
50,51,9520.4267578125
51,52,10226.9111328125
52,53,9861.4345703125
53,54,10811.1318359375
54,55,10136.033203125
55,56,10285.677734375
56,57,10616.462890625
57,58,11375.451171875
58,59,11744.4892578125
59,60,12044.68359375
60,61,344.1435241699219
61,62,9124.7568359375
62,63,10275.0498046875
63,64,9077.634765625
64,65,16333.826171875
65,66,12491.7255859375
66,67,12431.9384765625
67,68,11597.572265625
68,69,9637.0859375
69,70,7931.59326171875
70,71,9690.4189453125
71,72,12517.6298828125
72,73,12372.6728515625
73,74,13083.6630859375
74,75,13469.072265625
75,76,12274.0703125
76,77,13095.5380859375
77,78,13931.3544921875
78,79,14098.7734375
79,80,14596.5234375
80,81,14580.04296875
81,82,14071.5673828125
82,83,14735.7998046875
83,84,15278.17578125
84,85,15392.9189453125
85,86,15298.9970703125
86,87,15524.40234375
87,88,15444.921875
88,89,14343.9296875
89,90,14467.716796875
90,91,9821.5478515625
91,92,15171.9619140625
92,93,15814.3642578125
93,94,15620.6455078125
94,95,15339.953125
95,96,13241.337890625
96,97,12930.763671875
97,98,14657.51171875
98,99,259.8706970214844
99,100,13862.154296875
100,101,6667.28564453125
101,102,9045.3037109375
102,103,9112.67578125
103,104,14242.728515625
104,105,13369.1962890625
